miRNA	Gene		context_score	weighted_score
mmu-miR-181b-5p	ENSG00000140044	JDP2	0.278	0.278
mmu-miR-181b-5p	ENSG00000140396	NCOA2	0.062	0.062
mmu-miR-181b-5p	ENSG00000140403	DNAJA4	0.355	0.355
mmu-miR-181b-5p	ENSG00000140836	ZFHX3	0.02	0.017
mmu-miR-181b-5p	ENSG00000140848	CPNE2	0.377	0.003
mmu-miR-181b-5p	ENSG00000140873	ADAMTS18	0.182	0.182
mmu-miR-181b-5p	ENSG00000141030	COPS3	0.28	0.002
mmu-miR-181b-5p	ENSG00000141034	GID4	0.239	0.033
mmu-miR-181b-5p	ENSG00000141068	KSR1	0.097	0.093
mmu-miR-181b-5p	ENSG00000141150	#N/A	0.083	0.081
mmu-miR-181b-5p	ENSG00000141279	NPEPPS	0.382	0.372
mmu-miR-181b-5p	ENSG00000141349	G6PC3	0.084	0
mmu-miR-181b-5p	ENSG00000141385	AFG3L2	0.503	0.115
mmu-miR-181b-5p	ENSG00000141448	GATA6	0.352	0.057
mmu-miR-181b-5p	ENSG00000141449	GREB1L	0.113	0.113
mmu-miR-181b-5p	ENSG00000141503	MINK1	0.03	0.03
mmu-miR-181b-5p	ENSG00000141570	CBX8	0.02	0.002
mmu-miR-181b-5p	ENSG00000141582	CBX4	0.393	0.28
mmu-miR-181b-5p	ENSG00000142065	ZFP14	0.437	0.437
mmu-miR-181b-5p	ENSG00000142453	CARM1	0.244	0.236
mmu-miR-181b-5p	ENSG00000142871	CCN1	0.281	0.279
mmu-miR-181b-5p	ENSG00000143033	MTF2	0.167	0.058
mmu-miR-181b-5p	ENSG00000143067	ZNF697	0.12	0.12
mmu-miR-181b-5p	ENSG00000143079	CTTNBP2NL	0.122	0.122
mmu-miR-181b-5p	ENSG00000143153	ATP1B1	0.235	0.235
mmu-miR-181b-5p	ENSG00000143190	POU2F1	0.03	0.028
mmu-miR-181b-5p	ENSG00000143355	LHX9	0.214	0.155
mmu-miR-181b-5p	ENSG00000143384	MCL1	0.216	0.018
mmu-miR-181b-5p	ENSG00000143473	KCNH1	0.066	0
mmu-miR-181b-5p	ENSG00000143507	DUSP10	0.214	0.214
mmu-miR-181b-5p	ENSG00000143515	ATP8B2	0.243	0.181
mmu-miR-181b-5p	ENSG00000143776	CDC42BPA	0.137	0.137
mmu-miR-181b-5p	ENSG00000143797	MBOAT2	0.167	0.167
mmu-miR-181b-5p	ENSG00000143815	LBR	0.17	0.17
mmu-miR-181b-5p	ENSG00000143816	WNT9A	0.17	0.17
mmu-miR-181b-5p	ENSG00000143850	PLEKHA6	0.03	0.03
mmu-miR-181b-5p	ENSG00000143870	PDIA6	0.226	0.225
mmu-miR-181b-5p	ENSG00000143970	ASXL2	0.08	0.022
mmu-miR-181b-5p	ENSG00000144290	SLC4A10	0.139	0.139
mmu-miR-181b-5p	ENSG00000144406	UNC80	0.02	0.02
mmu-miR-181b-5p	ENSG00000144560	VGLL4	0.052	0.007
mmu-miR-181b-5p	ENSG00000144619	CNTN4	0.234	0.229
mmu-miR-181b-5p	ENSG00000144677	CTDSPL	0.213	0.195
mmu-miR-181b-5p	ENSG00000144847	IGSF11	0.218	0.218
mmu-miR-181b-5p	ENSG00000144893	MED12L	0.165	0.062
mmu-miR-181b-5p	ENSG00000144935	TRPC1	0.02	0.02
mmu-miR-181b-5p	ENSG00000145012	LPP	0.057	0.057
mmu-miR-181b-5p	ENSG00000145016	RUBCN	0.02	0.015
mmu-miR-181b-5p	ENSG00000145214	DGKQ	0.041	0.041
mmu-miR-181b-5p	ENSG00000145495	MARCHF6	0.062	0
mmu-miR-181b-5p	ENSG00000145703	IQGAP2	0.15	0.15
mmu-miR-181b-5p	ENSG00000145725	PPIP5K2	0.108	0.007
mmu-miR-181b-5p	ENSG00000145730	PAM	0.118	0
mmu-miR-181b-5p	ENSG00000145860	RNF145	0.154	0.154
mmu-miR-181b-5p	ENSG00000146247	PHIP	0.154	0.153
mmu-miR-181b-5p	ENSG00000146676	PURB	0.166	0.074
mmu-miR-181b-5p	ENSG00000146830	GIGYF1	0.058	0.058
mmu-miR-181b-5p	ENSG00000147162	OGT	0.03	0.014
mmu-miR-181b-5p	ENSG00000147454	SLC25A37	0.258	0.113
mmu-miR-181b-5p	ENSG00000147471	PLPBP	0.259	0.256
mmu-miR-181b-5p	ENSG00000147576	ADHFE1	0.227	0.227
mmu-miR-181b-5p	ENSG00000147650	LRP12	0.087	0.002
mmu-miR-181b-5p	ENSG00000147655	RSPO2	0.258	0.258
mmu-miR-181b-5p	ENSG00000147862	NFIB	0.139	0.128
mmu-miR-181b-5p	ENSG00000148154	UGCG	0.155	0.15
mmu-miR-181b-5p	ENSG00000148200	NR6A1	0.275	0.275
mmu-miR-181b-5p	ENSG00000148339	SLC25A25	0.099	0.099
mmu-miR-181b-5p	ENSG00000148343	MIGA2	0.061	0.061
mmu-miR-181b-5p	ENSG00000148411	NACC2	0.03	0.021
mmu-miR-181b-5p	ENSG00000148468	FAM171A1	0.147	0.147
mmu-miR-181b-5p	ENSG00000148660	CAMK2G	0.129	0.129
mmu-miR-181b-5p	ENSG00000148737	TCF7L2	0.249	0.241
mmu-miR-181b-5p	ENSG00000148842	CNNM2	0.207	0.128
mmu-miR-181b-5p	ENSG00000148943	LIN7C	0.067	0.06
mmu-miR-181b-5p	ENSG00000149212	SESN3	0.03	0.002
mmu-miR-181b-5p	ENSG00000149403	GRIK4	0.02	0.02
mmu-miR-181b-5p	ENSG00000149428	HYOU1	0.048	0.048
mmu-miR-181b-5p	ENSG00000149970	CNKSR2	0.038	0.033
mmu-miR-181b-5p	ENSG00000150394	CDH8	0.167	0.167
mmu-miR-181b-5p	ENSG00000150593	PDCD4	0.155	0.066
mmu-miR-181b-5p	ENSG00000150672	DLG2	0.097	0.097
mmu-miR-181b-5p	ENSG00000150712	MTMR12	0.088	0.054
mmu-miR-181b-5p	ENSG00000150938	CRIM1	0.142	0.141
mmu-miR-181b-5p	ENSG00000151090	THRB	0.071	0.048
mmu-miR-181b-5p	ENSG00000151151	IPMK	0.243	0.015
mmu-miR-181b-5p	ENSG00000151240	DIP2C	0.097	0.076
mmu-miR-181b-5p	ENSG00000151292	CSNK1G3	0.11	0.025
mmu-miR-181b-5p	ENSG00000151414	NEK7	0.296	0.153
mmu-miR-181b-5p	ENSG00000151458	ANKRD50	0.102	0.06
mmu-miR-181b-5p	ENSG00000151690	MFSD6	0.044	0.008
mmu-miR-181b-5p	ENSG00000151718	WWC2	0.095	0.094
mmu-miR-181b-5p	ENSG00000151952	TMEM132D	0.197	0.197
mmu-miR-181b-5p	ENSG00000151967	SCHIP1	0.231	0.231
mmu-miR-181b-5p	ENSG00000152056	AP1S3	0.353	0.188
mmu-miR-181b-5p	ENSG00000152413	HOMER1	0.087	0.075
mmu-miR-181b-5p	ENSG00000152454	ZNF256	0.038	0.013
mmu-miR-181b-5p	ENSG00000152465	NMT2	0.157	0.056
mmu-miR-181b-5p	ENSG00000152484	USP12	0.03	0.03
mmu-miR-181b-5p	ENSG00000152518	ZFP36L2	0.182	0.087
mmu-miR-181b-5p	ENSG00000152601	MBNL1	0.084	0.084
mmu-miR-181b-5p	ENSG00000152642	GPD1L	0.191	0.171
mmu-miR-181b-5p	ENSG00000152779	SLC16A12	0.186	0.186
mmu-miR-181b-5p	ENSG00000152785	BMP3	0.082	0.082
mmu-miR-181b-5p	ENSG00000152822	GRM1	0.06	0.06
mmu-miR-181b-5p	ENSG00000153012	LGI2	0.079	0.021
mmu-miR-181b-5p	ENSG00000153046	CDYL	0.279	0.156
mmu-miR-181b-5p	ENSG00000153094	BCL2L11	0.269	0.269
mmu-miR-181b-5p	ENSG00000153130	SCOC	0.292	0.292
mmu-miR-181b-5p	ENSG00000153214	TMEM87B	0.077	0.068
mmu-miR-181b-5p	ENSG00000153395	LPCAT1	0.225	0.135
mmu-miR-181b-5p	ENSG00000153560	UBP1	0.27	0.27
mmu-miR-181b-5p	ENSG00000153561	RMND5A	0.03	0.002
mmu-miR-181b-5p	ENSG00000153721	CNKSR3	0.105	0.009
mmu-miR-181b-5p	ENSG00000153786	ZDHHC7	0.247	0.247
mmu-miR-181b-5p	ENSG00000153814	JAZF1	0.225	0.085
mmu-miR-181b-5p	ENSG00000153922	CHD1	0.136	0.022
mmu-miR-181b-5p	ENSG00000153944	MSI2	0.02	0.003
mmu-miR-181b-5p	ENSG00000153956	CACNA2D1	0.082	0.08
mmu-miR-181b-5p	ENSG00000153982	GDPD1	0.109	0.105
mmu-miR-181b-5p	ENSG00000153989	NUS1	0.243	0.243
mmu-miR-181b-5p	ENSG00000154114	TBCEL	0.102	0.089
mmu-miR-181b-5p	ENSG00000154175	ABI3BP	0.147	0.147
mmu-miR-181b-5p	ENSG00000154310	TNIK	0.074	0.004
mmu-miR-181b-5p	ENSG00000154380	ENAH	0.128	0.02
mmu-miR-181b-5p	ENSG00000154639	CXADR	0.135	0.135
mmu-miR-181b-5p	ENSG00000154710	RABGEF1	0.16	0.108
mmu-miR-181b-5p	ENSG00000154734	ADAMTS1	0.02	0.015
mmu-miR-181b-5p	ENSG00000154736	ADAMTS5	0.116	0.116
mmu-miR-181b-5p	ENSG00000154822	PLCL2	0.129	0.117
mmu-miR-181b-5p	ENSG00000154917	RAB6B	0.071	0.002
mmu-miR-181b-5p	ENSG00000155130	#N/A	0.119	0.005
mmu-miR-181b-5p	ENSG00000155158	TTC39B	0.03	0.02
mmu-miR-181b-5p	ENSG00000155330	C16orf87	0.326	0.032
mmu-miR-181b-5p	ENSG00000155545	MIER3	0.12	0.096
mmu-miR-181b-5p	ENSG00000155744	HYCC2	0.116	0.113
mmu-miR-181b-5p	ENSG00000155903	RASA2	0.115	0.115
mmu-miR-181b-5p	ENSG00000156030	MIDEAS	0.18	0.141
mmu-miR-181b-5p	ENSG00000156052	GNAQ	0.124	0.124
mmu-miR-181b-5p	ENSG00000156232	WHAMM	0.174	0.174
mmu-miR-181b-5p	ENSG00000156642	NPTN	0.203	0.203
mmu-miR-181b-5p	ENSG00000156687	UNC5D	0.121	0.101
mmu-miR-181b-5p	ENSG00000156925	ZIC3	0.192	0.192
mmu-miR-181b-5p	ENSG00000156959	LHFPL4	0.06	0.008
mmu-miR-181b-5p	ENSG00000156976	EIF4A2	0.331	0.254
mmu-miR-181b-5p	ENSG00000157064	NMNAT2	0.037	0.037
mmu-miR-181b-5p	ENSG00000157087	ATP2B2	0.122	0.12
mmu-miR-181b-5p	ENSG00000157227	MMP14	0.073	0.073
mmu-miR-181b-5p	ENSG00000157554	ERG	0.107	0.003
mmu-miR-181b-5p	ENSG00000157625	TAB3	0.114	0.114
mmu-miR-181b-5p	ENSG00000157657	ZNF618	0.02	0.02
mmu-miR-181b-5p	ENSG00000157741	UBN2	0.131	0.088
mmu-miR-181b-5p	ENSG00000157800	SLC37A3	0.183	0.183
mmu-miR-181b-5p	ENSG00000157827	FMNL2	0.185	0.171
mmu-miR-181b-5p	ENSG00000158161	EYA3	0.126	0.126
mmu-miR-181b-5p	ENSG00000158604	TMED4	0.364	0.014
mmu-miR-181b-5p	ENSG00000158636	EMSY	0.185	0.185
mmu-miR-181b-5p	ENSG00000158691	ZSCAN12	0.088	0.088
mmu-miR-181b-5p	ENSG00000158856	DMTN	0.17	0.17
mmu-miR-181b-5p	ENSG00000159167	STC1	0.151	0.147
mmu-miR-181b-5p	ENSG00000159216	RUNX1	0.128	0.041
mmu-miR-181b-5p	ENSG00000159479	MED8	0.419	0.117
mmu-miR-181b-5p	ENSG00000160199	PKNOX1	0.054	0.002
mmu-miR-181b-5p	ENSG00000160305	DIP2A	0.146	0.019
mmu-miR-181b-5p	ENSG00000160360	GPSM1	0.205	0.205
mmu-miR-181b-5p	ENSG00000160551	TAOK1	0.03	0
mmu-miR-181b-5p	ENSG00000160584	SIK3	0.243	0.012
mmu-miR-181b-5p	ENSG00000160588	MPZL3	0.145	0.145
mmu-miR-181b-5p	ENSG00000161813	LARP4	0.265	0.17
mmu-miR-181b-5p	ENSG00000162063	CCNF	0.113	0.113
mmu-miR-181b-5p	ENSG00000162104	ADCY9	0.062	0.045
mmu-miR-181b-5p	ENSG00000162374	ELAVL4	0.212	0.212
mmu-miR-181b-5p	ENSG00000162407	PLPP3	0.229	0.229
mmu-miR-181b-5p	ENSG00000162733	DDR2	0.02	0.002
mmu-miR-181b-5p	ENSG00000162878	PKDCC	0.072	0.072
mmu-miR-181b-5p	ENSG00000162980	ARL5A	0.202	0.178
mmu-miR-181b-5p	ENSG00000163013	FBXO41	0.031	0.001
mmu-miR-181b-5p	ENSG00000163214	DHX57	0.208	0.208
mmu-miR-181b-5p	ENSG00000163349	HIPK1	0.049	0.048
mmu-miR-181b-5p	ENSG00000163412	EIF4E3	0.129	0.037
mmu-miR-181b-5p	ENSG00000163605	PPP4R2	0.03	0.024
mmu-miR-181b-5p	ENSG00000163630	SYNPR	0.263	0.263
mmu-miR-181b-5p	ENSG00000163637	PRICKLE2	0.15	0.15
mmu-miR-181b-5p	ENSG00000163655	GMPS	0.03	0.027
mmu-miR-181b-5p	ENSG00000163681	SLMAP	0.147	0.123
mmu-miR-181b-5p	ENSG00000163694	RBM47	0.091	0.077
mmu-miR-181b-5p	ENSG00000163812	ZDHHC3	0.182	0.182
mmu-miR-181b-5p	ENSG00000163864	NMNAT3	0.285	0.096
mmu-miR-181b-5p	ENSG00000163873	GRIK3	0.129	0.129
mmu-miR-181b-5p	ENSG00000163884	KLF15	0.394	0.394
mmu-miR-181b-5p	ENSG00000163904	SENP2	0.139	0.107
mmu-miR-181b-5p	ENSG00000163932	PRKCD	0.424	0.417
mmu-miR-181b-5p	ENSG00000163935	SFMBT1	0.262	0.066
mmu-miR-181b-5p	ENSG00000164024	METAP1	0.22	0
mmu-miR-181b-5p	ENSG00000164091	WDR82	0.233	0.227
mmu-miR-181b-5p	ENSG00000164093	PITX2	0.219	0.219
mmu-miR-181b-5p	ENSG00000164104	HMGB2	0.315	0.004
mmu-miR-181b-5p	ENSG00000164107	HAND2	0.125	0.125
mmu-miR-181b-5p	ENSG00000164134	NAA15	0.03	0.015
mmu-miR-181b-5p	ENSG00000164142	FHIP1A	0.151	0.151
mmu-miR-181b-5p	ENSG00000164164	OTUD4	0.116	0.116
mmu-miR-181b-5p	ENSG00000164187	LMBRD2	0.139	0.127
mmu-miR-181b-5p	ENSG00000164190	NIPBL	0.146	0.136
mmu-miR-181b-5p	ENSG00000164283	ESM1	0.262	0.262
mmu-miR-181b-5p	ENSG00000164402	SEPTIN8	0.03	0.014
mmu-miR-181b-5p	ENSG00000164418	GRIK2	0.099	0.099
mmu-miR-181b-5p	ENSG00000164463	CREBRF	0.282	0.282
mmu-miR-181b-5p	ENSG00000164588	HCN1	0.048	0
mmu-miR-181b-5p	ENSG00000164684	ZNF704	0.153	0.06
mmu-miR-181b-5p	ENSG00000164754	RAD21	0.186	0.186
mmu-miR-181b-5p	ENSG00000164761	TNFRSF11B	0.392	0.39
mmu-miR-181b-5p	ENSG00000164778	EN2	0.126	0.07
mmu-miR-181b-5p	ENSG00000164828	SUN1	0.21	0.206
mmu-miR-181b-5p	ENSG00000164916	FOXK1	0.144	0.107
mmu-miR-181b-5p	ENSG00000164924	YWHAZ	0.144	0.042
mmu-miR-181b-5p	ENSG00000165071	TMEM71	0.171	0.171
mmu-miR-181b-5p	ENSG00000165072	MAMDC2	0.078	0.078
mmu-miR-181b-5p	ENSG00000165119	HNRNPK	0.206	0.206
mmu-miR-181b-5p	ENSG00000165219	GAPVD1	0.077	0.028
mmu-miR-181b-5p	ENSG00000165355	FBXO33	0.231	0.231
mmu-miR-181b-5p	ENSG00000165495	PKNOX2	0.243	0.243
mmu-miR-181b-5p	ENSG00000165527	ARF6	0.331	0.272
mmu-miR-181b-5p	ENSG00000165556	CDX2	0.107	0.016
mmu-miR-181b-5p	ENSG00000165678	GHITM	0.162	0.081
mmu-miR-181b-5p	ENSG00000165795	NDRG2	0.201	0.201
mmu-miR-181b-5p	ENSG00000165891	E2F7	0.146	0.146
mmu-miR-181b-5p	ENSG00000166006	KCNC2	0.046	0
mmu-miR-181b-5p	ENSG00000166016	ABTB2	0.111	0.111
mmu-miR-181b-5p	ENSG00000166200	COPS2	0.158	0.004
mmu-miR-181b-5p	ENSG00000166233	ARIH1	0.023	0.014
mmu-miR-181b-5p	ENSG00000166266	CUL5	0.077	0.071
mmu-miR-181b-5p	ENSG00000166295	ANAPC16	0.211	0.022
mmu-miR-181b-5p	ENSG00000166407	LMO1	0.411	0.339
mmu-miR-181b-5p	ENSG00000166532	RIMKLB	0.166	0.137
mmu-miR-181b-5p	ENSG00000166598	HSP90B1	0.42	0.187
mmu-miR-181b-5p	ENSG00000166747	AP1G1	0.03	0.029
mmu-miR-181b-5p	ENSG00000166946	CCNDBP1	0.264	0
mmu-miR-181b-5p	ENSG00000166963	MAP1A	0.054	0.054
mmu-miR-181b-5p	ENSG00000166974	MAPRE2	0.185	0.006
mmu-miR-181b-5p	ENSG00000167081	PBX3	0.173	0.165
mmu-miR-181b-5p	ENSG00000167106	FAM102A	0.132	0.075
mmu-miR-181b-5p	ENSG00000167994	RAB3IL1	0.144	0.144
mmu-miR-181b-5p	ENSG00000168016	TRANK1	0.099	0.099
mmu-miR-181b-5p	ENSG00000168092	PAFAH1B2	0.275	0.104
mmu-miR-181b-5p	ENSG00000168209	DDIT4	0.289	0.241
mmu-miR-181b-5p	ENSG00000168282	MGAT2	0.11	0.001
mmu-miR-181b-5p	ENSG00000168395	ING5	0.195	0.139
mmu-miR-181b-5p	ENSG00000168502	MTCL1	0.077	0.077
mmu-miR-181b-5p	ENSG00000168612	ZSWIM1	0.226	0.207
mmu-miR-181b-5p	ENSG00000168724	DNAJC21	0.255	0.012
mmu-miR-181b-5p	ENSG00000168758	SEMA4C	0.105	0.105
mmu-miR-181b-5p	ENSG00000168952	STXBP6	0.186	0.052
mmu-miR-181b-5p	ENSG00000168959	GRM5	0.094	0.094
mmu-miR-181b-5p	ENSG00000169032	MAP2K1	0.177	0.125
mmu-miR-181b-5p	ENSG00000169045	HNRNPH1	0.14	0.14
mmu-miR-181b-5p	ENSG00000169057	MECP2	0.03	0.006
mmu-miR-181b-5p	ENSG00000169118	CSNK1G1	0.056	0.05
mmu-miR-181b-5p	ENSG00000169155	ZBTB43	0.165	0.162
mmu-miR-181b-5p	ENSG00000169306	IL1RAPL1	0.02	0
mmu-miR-181b-5p	ENSG00000169330	MINAR1	0.117	0.117
mmu-miR-181b-5p	ENSG00000169410	PTPN9	0.187	0.023
mmu-miR-181b-5p	ENSG00000169439	SDC2	0.162	0.034
mmu-miR-181b-5p	ENSG00000169554	ZEB2	0.031	0.026
mmu-miR-181b-5p	ENSG00000169635	HIC2	0.082	0.062
mmu-miR-181b-5p	ENSG00000169641	LUZP1	0.114	0.077
mmu-miR-181b-5p	ENSG00000170027	YWHAG	0.148	0.146
mmu-miR-181b-5p	ENSG00000170153	RNF150	0.047	0.04
mmu-miR-181b-5p	ENSG00000170248	PDCD6IP	0.171	0.004
mmu-miR-181b-5p	ENSG00000170345	FOS	0.186	0.001
mmu-miR-181b-5p	ENSG00000170385	SLC30A1	0.108	0.078
mmu-miR-181b-5p	ENSG00000170456	DENND5B	0.03	0.028
mmu-miR-181b-5p	ENSG00000170471	RALGAPB	0.087	0.003
mmu-miR-181b-5p	ENSG00000170577	SIX2	0.168	0.168
mmu-miR-181b-5p	ENSG00000170633	RNF34	0.507	0.02
mmu-miR-181b-5p	ENSG00000170921	TANC2	0.03	0.026
mmu-miR-181b-5p	ENSG00000170989	S1PR1	0.168	0.016
mmu-miR-181b-5p	ENSG00000171132	PRKCE	0.109	0.109
mmu-miR-181b-5p	ENSG00000171169	NAIF1	0.03	0.019
mmu-miR-181b-5p	ENSG00000171316	CHD7	0.091	0.09
mmu-miR-181b-5p	ENSG00000171444	MCC	0.059	0.051
mmu-miR-181b-5p	ENSG00000171604	CXXC5	0.176	0.171
mmu-miR-181b-5p	ENSG00000171634	BPTF	0.02	0.02
mmu-miR-181b-5p	ENSG00000171649	ZIK1	0.084	0.084
mmu-miR-181b-5p	ENSG00000171791	BCL2	0.071	0.071
mmu-miR-181b-5p	ENSG00000171813	PWWP2B	0.03	0.03
mmu-miR-181b-5p	ENSG00000171862	PTEN	0.142	0.111
mmu-miR-181b-5p	ENSG00000171956	FOXB1	0.086	0.072
mmu-miR-181b-5p	ENSG00000172197	MBOAT1	0.135	0.005
mmu-miR-181b-5p	ENSG00000172209	GPR22	0.15	0
mmu-miR-181b-5p	ENSG00000172260	NEGR1	0.03	0.005
mmu-miR-181b-5p	ENSG00000172379	ARNT2	0.14	0.14
mmu-miR-181b-5p	ENSG00000172466	ZNF24	0.048	0.048
mmu-miR-181b-5p	ENSG00000172493	AFF1	0.05	0.02
mmu-miR-181b-5p	ENSG00000172548	NIPAL4	0.156	0.156
mmu-miR-181b-5p	ENSG00000172572	PDE3A	0.069	0.064
mmu-miR-181b-5p	ENSG00000172765	TMCC1	0.17	0.17
mmu-miR-181b-5p	ENSG00000172915	NBEA	0.048	0.048
mmu-miR-181b-5p	ENSG00000172954	LCLAT1	0.211	0.211
mmu-miR-181b-5p	ENSG00000173011	TADA2B	0.276	0.069
mmu-miR-181b-5p	ENSG00000173020	GRK2	0.125	0.124
mmu-miR-181b-5p	ENSG00000173068	BNC2	0.136	0.136
mmu-miR-181b-5p	ENSG00000173209	AHSA2P	0.044	0.001
mmu-miR-181b-5p	ENSG00000173262	SLC2A14	0.27	0.09
mmu-miR-181b-5p	ENSG00000173275	ZNF449	0.143	0.139
mmu-miR-181b-5p	ENSG00000173418	NAA20	0.276	0.001
mmu-miR-181b-5p	ENSG00000173517	PEAK1	0.082	0.072
mmu-miR-181b-5p	ENSG00000173611	SCAI	0.02	0.004
mmu-miR-181b-5p	ENSG00000173744	AGFG1	0.204	0.202
mmu-miR-181b-5p	ENSG00000173889	PHC3	0.03	0.009
mmu-miR-181b-5p	ENSG00000174010	KLHL15	0.084	0.049
mmu-miR-181b-5p	ENSG00000174106	LEMD3	0.116	0.103
mmu-miR-181b-5p	ENSG00000174145	NWD2	0.146	0.146
mmu-miR-181b-5p	ENSG00000174197	MGA	0.01	0.007
mmu-miR-181b-5p	ENSG00000174279	EVX2	0.103	0.103
mmu-miR-181b-5p	ENSG00000174282	ZBTB4	0.032	0.032
mmu-miR-181b-5p	ENSG00000174437	ATP2A2	0.159	0.158
mmu-miR-181b-5p	ENSG00000174469	CNTNAP2	0.02	0.016
mmu-miR-181b-5p	ENSG00000174498	IGDCC3	0.062	0.062
mmu-miR-181b-5p	ENSG00000174574	AKIRIN1	0.19	0.003
mmu-miR-181b-5p	ENSG00000174718	RESF1	0.174	0.016
mmu-miR-181b-5p	ENSG00000174738	NR1D2	0.133	0.062
mmu-miR-181b-5p	ENSG00000175087	PDIK1L	0.065	0.065
mmu-miR-181b-5p	ENSG00000175727	MLXIP	0.038	0.01
mmu-miR-181b-5p	ENSG00000175785	PRIMA1	0.269	0.269
mmu-miR-181b-5p	ENSG00000175928	LRRN1	0.107	0.105
mmu-miR-181b-5p	ENSG00000176055	MBLAC2	0.207	0.154
mmu-miR-181b-5p	ENSG00000176102	CSTF3	0.154	0.154
mmu-miR-181b-5p	ENSG00000176274	#N/A	0.107	0.036
mmu-miR-181b-5p	ENSG00000176907	TCIM	0.296	0.296
mmu-miR-181b-5p	ENSG00000176953	NFATC2IP	0.077	0.062
mmu-miR-181b-5p	ENSG00000176986	SEC24C	0.19	0.19
mmu-miR-181b-5p	ENSG00000177125	ZBTB34	0.044	0.044
mmu-miR-181b-5p	ENSG00000177189	RPS6KA3	0.266	0.054
mmu-miR-181b-5p	ENSG00000177200	CHD9	0.045	0.044
mmu-miR-181b-5p	ENSG00000177425	PAWR	0.211	0.21
mmu-miR-181b-5p	ENSG00000177463	NR2C2	0.098	0.065
mmu-miR-181b-5p	ENSG00000177565	TBL1XR1	0.159	0.159
mmu-miR-181b-5p	ENSG00000177570	SAMD12	0.076	0.076
mmu-miR-181b-5p	ENSG00000177728	TMEM94	0.101	0.101
mmu-miR-181b-5p	ENSG00000177888	ZBTB41	0.03	0.028
mmu-miR-181b-5p	ENSG00000177889	UBE2N	0.41	0.007
mmu-miR-181b-5p	ENSG00000178031	ADAMTSL1	0.13	0.085
mmu-miR-181b-5p	ENSG00000178053	MLF1	0.34	0.34
mmu-miR-181b-5p	ENSG00000178074	C2orf69	0.36	0.003
mmu-miR-181b-5p	ENSG00000178233	TMEM151B	0.137	0.137
mmu-miR-181b-5p	ENSG00000178235	SLITRK1	0.138	0.138
mmu-miR-181b-5p	ENSG00000178409	BEND3	0.197	0.197
mmu-miR-181b-5p	ENSG00000178567	EPM2AIP1	0.02	0.001
mmu-miR-181b-5p	ENSG00000178694	NSUN3	0.055	0.001
mmu-miR-181b-5p	ENSG00000178951	ZBTB7A	0.242	0.199
mmu-miR-181b-5p	ENSG00000178974	FBXO34	0.278	0.043
mmu-miR-181b-5p	ENSG00000179119	SPTY2D1	0.101	0.002
mmu-miR-181b-5p	ENSG00000179195	ZNF664	0.124	0.043
mmu-miR-181b-5p	ENSG00000179361	ARID3B	0.244	0.244
mmu-miR-181b-5p	ENSG00000179364	PACS2	0.14	0.139
mmu-miR-181b-5p	ENSG00000179388	EGR3	0.119	0.089
mmu-miR-181b-5p	ENSG00000179542	SLITRK4	0.102	0.02
mmu-miR-181b-5p	ENSG00000179813	FAM216B	0.022	0.022
mmu-miR-181b-5p	ENSG00000179833	SERTAD2	0.073	0.056
mmu-miR-181b-5p	ENSG00000179915	NRXN1	0.207	0.207
mmu-miR-181b-5p	ENSG00000180011	PTGR3	0.064	0.032
mmu-miR-181b-5p	ENSG00000180233	ZNRF2	0.134	0.017
mmu-miR-181b-5p	ENSG00000180354	MTURN	0.301	0.301
mmu-miR-181b-5p	ENSG00000180537	RNF182	0.195	0.194
mmu-miR-181b-5p	ENSG00000180611	MB21D2	0.33	0.33
mmu-miR-181b-5p	ENSG00000180667	YOD1	0.175	0.144
mmu-miR-181b-5p	ENSG00000180801	ARSJ	0.302	0.302
mmu-miR-181b-5p	ENSG00000180998	GPR137C	0.171	0.001
mmu-miR-181b-5p	ENSG00000181007	ZFP82	0.36	0.36
mmu-miR-181b-5p	ENSG00000181333	HEPHL1	0.129	0.129
mmu-miR-181b-5p	ENSG00000181690	PLAG1	0.153	0.149
mmu-miR-181b-5p	ENSG00000181704	YIPF6	0.243	0.056
mmu-miR-181b-5p	ENSG00000181915	ADO	0.242	0.242
mmu-miR-181b-5p	ENSG00000182175	RGMA	0.063	0.061
mmu-miR-181b-5p	ENSG00000182255	KCNA4	0.207	0.207
mmu-miR-181b-5p	ENSG00000182263	FIGN	0.154	0.154
mmu-miR-181b-5p	ENSG00000182621	PLCB1	0.021	0.021
mmu-miR-181b-5p	ENSG00000182742	HOXB4	0.173	0.173
mmu-miR-181b-5p	ENSG00000182771	GRID1	0.145	0.015
mmu-miR-181b-5p	ENSG00000182836	PLCXD3	0.144	0.144
mmu-miR-181b-5p	ENSG00000182957	SPATA13	0.02	0.02
mmu-miR-181b-5p	ENSG00000183023	SLC8A1	0.065	0.005
mmu-miR-181b-5p	ENSG00000183283	DAZAP2	0.11	0.11
mmu-miR-181b-5p	ENSG00000183496	MEX3B	0.106	0.106
mmu-miR-181b-5p	ENSG00000183654	MARCHF11	0.261	0.261
mmu-miR-181b-5p	ENSG00000183691	NOG	0.19	0.19
mmu-miR-181b-5p	ENSG00000183780	SLC35F3	0.256	0.256
mmu-miR-181b-5p	ENSG00000184261	KCNK12	0.064	0.064
mmu-miR-181b-5p	ENSG00000184402	SS18L1	0.203	0.166
